Temperature,Current_HPWL,Best_HPWL
3.217e+006,6574,5945
2.8953e+006,6659,5945
2.60577e+006,6417,5945
2.34519e+006,6577,5945
2.11067e+006,6561,5945
1.89961e+006,6452,5831
1.70965e+006,6312,5831
1.53868e+006,6579,5831
1.38481e+006,6299,5831
1.24633e+006,6384,5831
1.1217e+006,6435,5831
1.00953e+006,6567,5831
908576,6339,5831
817718,6212,5831
735946,6781,5831
662352,7009,5831
596117,6730,5831
536505,6516,5831
482854,6814,5831
434569,6493,5831
391112,6445,5831
352001,6410,5831
316801,6947,5831
285121,6718,5831
256609,6542,5814
230948,6704,5814
207853,6982,5814
187068,6577,5814
168361,6813,5814
151525,6606,5814
136372,6425,5814
122735,6722,5814
110462,6734,5814
99415.4,6696,5814
89473.9,6909,5814
80526.5,6235,5799
72473.9,6942,5799
65226.5,6722,5799
58703.8,6356,5799
52833.4,6436,5799
47550.1,6427,5799
42795.1,6701,5799
38515.6,6399,5799
34664,6838,5799
31197.6,6696,5799
28077.9,6551,5799
25270.1,6373,5799
22743.1,6464,5799
20468.8,6627,5799
18421.9,6711,5799
16579.7,7139,5799
14921.7,6630,5799
13429.6,6394,5799
12086.6,6262,5799
10877.9,6201,5799
9790.14,6988,5799
8811.13,6746,5799
7930.02,6465,5799
7137.01,6269,5799
6423.31,6491,5799
5780.98,6669,5799
5202.88,6779,5799
4682.6,6498,5799
4214.34,6847,5799
3792.9,6606,5799
3413.61,6419,5799
3072.25,6388,5799
2765.03,6722,5799
2488.52,6751,5799
2239.67,6399,5799
2015.7,6534,5789
1814.13,6317,5789
1632.72,6599,5789
1469.45,6470,5789
1322.5,6338,5789
1190.25,6877,5789
1071.23,6680,5789
964.105,6547,5789
867.694,6920,5789
780.925,6507,5789
702.832,6471,5789
632.549,6782,5789
569.294,6404,5760
512.365,6559,5760
461.128,6622,5760
415.016,6507,5760
373.514,6527,5702
336.163,6559,5702
302.546,6441,5702
272.292,6231,5702
245.063,6705,5702
220.556,6465,5702
198.501,6609,5702
178.651,6028,5659
160.786,6278,5659
144.707,6467,5659
130.236,6107,5502
117.213,6468,5502
105.491,5906,5502
94.9422,6172,5502
85.448,6208,5502
76.9032,6289,5502
69.2129,5654,5379
62.2916,5892,5379
56.0624,6272,5204
50.4562,5683,5204
45.4106,5830,4909
40.8695,5953,4909
36.7826,5503,4909
33.1043,5206,4909
29.7939,5701,4909
26.8145,5172,4823
24.133,5289,4823
21.7197,5050,4695
19.5478,4916,4614
17.593,4409,4370
15.8337,4174,4117
14.2503,4496,3997
12.8253,4157,3997
11.5428,4016,3809
10.3885,3806,3722
9.34964,3751,3573
8.41467,3509,3355
7.57321,3463,3355
6.81588,3441,3355
6.1343,3292,3226
5.52087,3099,3043
4.96878,3142,2996
4.4719,3043,2954
4.02471,2954,2954
3.62224,2801,2798
3.26002,2854,2779
2.93401,2730,2716
2.64061,2695,2675
2.37655,2640,2632
2.1389,2601,2595
1.92501,2545,2545
1.73251,2558,2538
1.55926,2526,2526
1.40333,2501,2499
1.263,2468,2467
1.1367,2447,2446
1.02303,2407,2405
0.920725,2375,2374
0.828652,2368,2365
0.745787,2353,2352
0.671208,2339,2339
0.604088,2324,2324
0.543679,2311,2311
0.489311,2299,2299
0.44038,2293,2292
0.396342,2286,2286
0.356708,2285,2285
0.321037,2285,2285
0.288933,2280,2280
0.26004,2280,2280
0.234036,2275,2275
0.210632,2268,2268
0.189569,2265,2265
0.170612,2261,2261
0.153551,2257,2257
0.138196,2256,2256
0.124376,2252,2252
0.111939,2251,2251
0.100745,2249,2249
0.0906703,2249,2249
0.0816033,2248,2248
0.073443,2246,2246
0.0660987,2243,2243
0.0594888,2241,2241
0.0535399,2238,2238
0.0481859,2236,2236
0.0433673,2233,2233
0.0390306,2233,2233
0.0351275,2231,2231
0.0316148,2229,2229
0.0284533,2229,2229
0.025608,2229,2229
0.0230472,2229,2229
0.0207425,2226,2226
0.0186682,2225,2225
0.0168014,2225,2225
0.0151213,2223,2223
0.0136091,2223,2223
0.0122482,2223,2223
0.0110234,2222,2222
0.00992105,2222,2222
0.00892895,2220,2220
0.00803605,2220,2220
0.00723245,2219,2219
0.0065092,2219,2219
0.00585828,2218,2218
0.00527245,2218,2218
0.00474521,2218,2218
0.00427069,2217,2217
0.00384362,2217,2217
0.00345926,2217,2217
0.00311333,2216,2216
0.002802,2215,2215
