Temperature,Current_HPWL,Best_HPWL
6.828e+006,13295,12687
5.8038e+006,13337,12687
4.93323e+006,13397,12543
4.19325e+006,13258,12543
3.56426e+006,13666,12383
3.02962e+006,12999,12383
2.57518e+006,13051,12383
2.1889e+006,13347,12196
1.86057e+006,13900,12196
1.58148e+006,13018,12196
1.34426e+006,13548,12196
1.14262e+006,13298,12196
971227,13528,12196
825543,13103,12196
701711,13595,12196
596455,13301,12196
506986,13211,12196
430938,13027,12196
366298,13193,12196
311353,12622,12196
264650,13418,12196
224953,13502,12196
191210,13895,12196
162528,13527,12196
138149,13553,12196
117427,13658,12196
99812.6,13386,12196
84840.8,13611,12196
72114.6,13391,11910
61297.4,13469,11910
52102.8,13433,11910
44287.4,13129,11910
37644.3,13697,11910
31997.6,12720,11910
27198,13058,11910
23118.3,12931,11910
19650.6,13381,11910
16703,13779,11910
14197.5,13213,11910
12067.9,13215,11910
10257.7,13757,11910
8719.06,13079,11910
7411.2,13560,11910
6299.52,13396,11910
5354.59,13192,11910
4551.4,13528,11910
3868.69,13664,11910
3288.39,13439,11910
2795.13,12786,11910
2375.86,12913,11910
2019.48,13746,11910
1716.56,13053,11910
1459.08,13123,11910
1240.21,13236,11910
1054.18,13182,11910
896.055,13419,11910
761.646,13347,11910
647.399,13299,11910
550.289,13078,11910
467.746,13876,11910
397.584,13320,11910
337.947,13428,11910
287.255,13174,11910
244.166,13177,11910
207.541,12662,11910
176.41,13344,11910
149.949,12607,11851
127.456,11817,11817
108.338,12398,11742
92.0872,12310,11624
78.2741,12179,11367
66.533,11921,11337
56.5531,11455,10855
48.0701,11592,10855
40.8596,11261,10692
34.7307,10729,10134
29.5211,10398,10001
25.0929,10576,9676
21.329,9793,8971
18.1296,9145,8738
15.4102,8630,8465
13.0986,8069,7746
11.1339,7687,7390
9.46377,7117,6918
8.04421,7004,6558
6.83758,6365,6343
5.81194,5904,5812
4.94015,5686,5586
4.19913,5340,5286
3.56926,4932,4916
3.03387,4738,4725
2.57879,4624,4618
2.19197,4574,4524
1.86317,4404,4394
1.5837,4313,4304
1.34614,4232,4229
1.14422,4152,4152
0.972589,4111,4111
0.826701,4087,4085
0.702695,4042,4042
0.597291,3993,3993
0.507697,3962,3962
0.431543,3927,3927
0.366811,3884,3884
0.31179,3868,3868
0.265021,3849,3849
0.225268,3820,3820
0.191478,3816,3816
0.162756,3800,3800
0.138343,3788,3788
0.117591,3781,3781
0.0999526,3766,3766
0.0849597,3757,3757
0.0722158,3748,3748
0.0613834,3743,3743
0.0521759,3738,3738
0.0443495,3732,3732
0.0376971,3716,3716
0.0320425,3704,3704
0.0272361,3695,3695
0.0231507,3685,3685
0.0196781,3682,3682
0.0167264,3679,3679
0.0142174,3673,3673
0.0120848,3664,3664
0.0102721,3657,3657
0.00873128,3653,3653
0.00742159,3645,3645
0.00630835,3641,3641
0.0053621,3640,3640
0.00455779,3633,3633
0.00387412,3633,3633
0.003293,3628,3628
0.00279905,3623,3623
