Temperature,Current_HPWL,Best_HPWL
1.1833e+007,23963,22793
8.87475e+006,23643,22793
6.65606e+006,24123,22793
4.99205e+006,23525,22793
3.74404e+006,23973,22793
2.80803e+006,24324,22793
2.10602e+006,24055,22725
1.57951e+006,23329,22725
1.18464e+006,23998,22725
888477,24527,22725
666358,23349,22725
499768,23720,22725
374826,23633,22725
281120,24080,22568
210840,24127,22568
158130,23212,22512
118597,24371,22512
88948,24001,22512
66711,23691,22512
50033.3,24659,22512
37525,23367,22512
28143.7,23504,22512
21107.8,23926,22512
15830.8,23641,22512
11873.1,23416,22512
8904.85,23597,22512
6678.64,23886,22512
5008.98,24048,22512
3756.73,23894,22512
2817.55,23673,22512
2113.16,23887,22512
1584.87,23787,22512
1188.65,23219,22290
891.49,24213,22290
668.618,23719,22290
501.463,23766,22290
376.097,23891,22223
282.073,23225,22038
211.555,23071,21876
158.666,22756,21876
119,22332,21580
89.2497,21375,21326
66.9373,21967,20669
50.2029,20742,19948
37.6522,21092,19335
28.2392,17912,17198
21.1794,17171,16547
15.8845,15414,15147
11.9134,13714,13299
8.93505,12205,12185
6.70128,11218,11017
5.02596,10035,10023
3.76947,9482,9471
2.8271,8738,8738
2.12033,8304,8294
1.59025,7958,7935
1.19268,7638,7638
0.894513,7456,7456
0.670885,7340,7336
0.503164,7209,7208
0.377373,7141,7141
0.28303,7066,7066
0.212272,7009,7009
0.159204,6971,6971
0.119403,6934,6934
0.0895523,6896,6896
0.0671643,6868,6868
0.0503732,6827,6827
0.0377799,6792,6792
0.0283349,6763,6763
0.0212512,6738,6738
0.0159384,6720,6720
0.0119538,6689,6689
0.00896535,6667,6667
0.00672401,6649,6649
0.00504301,6628,6628
0.00378226,6604,6604
0.00283669,6597,6597
