Temperature,Current_HPWL,Best_HPWL
1.95385e+007,39285,38246
1.75846e+007,39265,38246
1.58262e+007,39782,37930
1.42436e+007,39855,37930
1.28192e+007,38842,37930
1.15373e+007,39529,37930
1.03836e+007,39261,37930
9.3452e+006,40296,37930
8.41068e+006,40590,37930
7.56962e+006,39480,37930
6.81265e+006,40283,37930
6.13139e+006,39990,37930
5.51825e+006,40581,37930
4.96642e+006,39575,37930
4.46978e+006,39364,37930
4.0228e+006,39625,37926
3.62052e+006,39859,37926
3.25847e+006,39962,37926
2.93262e+006,40378,37926
2.63936e+006,39786,37926
2.37543e+006,39838,37772
2.13788e+006,39596,37772
1.92409e+006,39163,37772
1.73169e+006,39263,37772
1.55852e+006,40119,37772
1.40266e+006,39648,37772
1.2624e+006,40430,37772
1.13616e+006,39743,37772
1.02254e+006,40218,37772
920288,40947,37772
828260,39842,37772
745434,39092,37772
670890,39319,37772
603801,39446,37772
543421,39266,37772
489079,38738,37772
440171,40241,37772
396154,39323,37772
356539,39916,37772
320885,39461,37772
288796,40552,37772
259917,40505,37772
233925,40403,37772
210532,39000,37772
189479,40576,37772
170531,39206,37772
153478,40004,37772
138130,39502,37772
124317,39013,37772
111886,39850,37772
100697,39113,37772
90627.3,39682,37772
81564.6,40389,37772
73408.1,39836,37772
66067.3,38950,37772
59460.6,39423,37772
53514.5,39394,37772
48163.1,39891,37772
43346.8,40442,37772
39012.1,39760,37772
35110.9,40022,37772
31599.8,38940,37772
28439.8,40277,37772
25595.8,39703,37772
23036.3,39249,37772
20732.6,39201,37772
18659.4,40141,37772
16793.4,39724,37772
15114.1,39633,37772
13602.7,39653,37772
12242.4,39833,37772
11018.2,39726,37772
9916.35,39149,37772
8924.72,40162,37772
8032.24,40429,37772
7229.02,41154,37772
6506.12,39638,37772
5855.51,39549,37772
5269.96,39366,37772
4742.96,40087,37772
4268.66,39992,37772
3841.8,38834,37666
3457.62,39466,37666
3111.86,39573,37666
2800.67,39327,37666
2520.6,39139,37666
2268.54,39157,37666
2041.69,39655,37666
1837.52,39429,37666
1653.77,39470,37666
1488.39,38635,37666
1339.55,38988,37666
1205.6,40073,37666
1085.04,39723,37666
976.533,39550,37348
878.88,38997,37348
790.992,39722,37348
711.893,39386,37348
640.704,39476,37348
576.633,39778,37348
518.97,38429,37348
467.073,39022,37217
420.366,40087,36581
378.329,39134,36581
340.496,39162,36581
306.447,38633,36581
275.802,39241,36581
248.222,38310,36581
223.4,37990,36581
201.06,38316,36581
180.954,38956,36533
162.858,37989,36147
146.572,37226,36147
131.915,36883,36147
118.724,37533,35944
106.851,38016,35895
96.1662,37299,35535
86.5496,37222,35303
77.8946,36163,35009
70.1051,35054,34374
63.0946,35500,33924
56.7852,34467,33840
51.1066,33030,33030
45.996,33749,32178
41.3964,33389,31629
37.2567,32914,31629
33.5311,32042,30524
30.178,30442,29599
27.1602,30197,29241
24.4441,29729,28813
21.9997,27929,27875
19.7998,28084,27272
17.8198,27127,26509
16.0378,25980,25416
14.434,25583,24451
12.9906,24230,23667
11.6916,22908,22701
10.5224,22146,21829
9.47016,21595,21222
8.52315,20231,20133
7.67083,19782,19502
6.90375,18496,18397
6.21337,17797,17726
5.59204,17069,16840
5.03283,16642,16478
4.52955,16216,16102
4.0766,15718,15703
3.66894,15270,15253
3.30204,14844,14836
2.97184,14524,14501
2.67465,14275,14265
2.40719,14033,14032
2.16647,13792,13791
1.94982,13491,13487
1.75484,13265,13258
1.57936,13078,13077
1.42142,12799,12799
1.27928,12642,12642
1.15135,12522,12522
1.03622,12429,12424
0.932594,12312,12305
0.839335,12212,12209
0.755401,12164,12160
0.679861,12107,12107
0.611875,12048,12048
0.550688,12003,12003
0.495619,11959,11959
0.446057,11906,11906
0.401451,11851,11851
0.361306,11805,11805
0.325176,11744,11744
0.292658,11723,11723
0.263392,11699,11699
0.237053,11671,11671
0.213348,11648,11648
0.192013,11620,11620
0.172812,11597,11597
0.15553,11584,11584
0.139977,11562,11562
0.12598,11546,11546
0.113382,11533,11533
0.102044,11515,11515
0.0918392,11495,11495
0.0826553,11482,11482
0.0743897,11462,11462
0.0669508,11448,11448
0.0602557,11432,11432
0.0542301,11417,11417
0.0488071,11409,11409
0.0439264,11401,11401
0.0395338,11389,11389
0.0355804,11385,11385
0.0320223,11374,11374
0.0288201,11367,11367
0.0259381,11360,11360
0.0233443,11343,11343
0.0210099,11334,11334
0.0189089,11324,11324
0.017018,11316,11316
0.0153162,11307,11307
0.0137846,11297,11297
0.0124061,11292,11292
0.0111655,11290,11290
0.0100489,11287,11287
0.00904405,11280,11280
0.00813965,11273,11273
0.00732568,11269,11269
0.00659312,11260,11260
0.0059338,11252,11252
0.00534042,11246,11246
0.00480638,11243,11243
0.00432574,11238,11238
0.00389317,11231,11231
0.00350385,11223,11223
0.00315347,11217,11217
0.00283812,11212,11212
