Temperature,Current_HPWL,Best_HPWL
2.83505e+007,57876,55918
2.6933e+007,58099,55918
2.55863e+007,57716,55918
2.4307e+007,58238,55918
2.30917e+007,57470,55918
2.19371e+007,58592,55918
2.08402e+007,57270,55918
1.97982e+007,57964,55918
1.88083e+007,59260,55918
1.78679e+007,58868,55918
1.69745e+007,57700,55874
1.61258e+007,59262,55874
1.53195e+007,58227,55874
1.45535e+007,58232,55874
1.38258e+007,57123,55874
1.31345e+007,57826,55874
1.24778e+007,58671,55874
1.18539e+007,57622,55874
1.12612e+007,57356,55874
1.06982e+007,56639,55874
1.01633e+007,57964,55874
9.65509e+006,58273,55874
9.17234e+006,57079,55874
8.71372e+006,57764,55874
8.27803e+006,58335,55874
7.86413e+006,58500,55874
7.47093e+006,57102,55874
7.09738e+006,56777,55874
6.74251e+006,57552,55874
6.40539e+006,57997,55874
6.08512e+006,58151,55874
5.78086e+006,58509,55874
5.49182e+006,57993,55836
5.21723e+006,58075,55836
4.95637e+006,57520,55836
4.70855e+006,57846,55767
4.47312e+006,58844,55767
4.24946e+006,57053,55767
4.03699e+006,56850,55767
3.83514e+006,57976,55767
3.64338e+006,58623,55767
3.46121e+006,57956,55767
3.28815e+006,57077,55767
3.12375e+006,58076,55767
2.96756e+006,58773,55767
2.81918e+006,57042,55767
2.67822e+006,58021,55767
2.54431e+006,57081,55767
2.4171e+006,58526,55767
2.29624e+006,58626,55767
2.18143e+006,58937,55767
2.07236e+006,58399,55767
1.96874e+006,57585,55767
1.8703e+006,57791,55767
1.77679e+006,57632,55767
1.68795e+006,58469,55767
1.60355e+006,57333,55767
1.52337e+006,57320,55767
1.4472e+006,58717,55767
1.37484e+006,57154,55767
1.3061e+006,58456,55767
1.2408e+006,57329,55767
1.17876e+006,57920,55767
1.11982e+006,57751,55767
1.06383e+006,58053,55767
1.01064e+006,58017,55767
960105,58326,55767
912100,58381,55767
866495,57923,55767
823170,57598,55767
782011,58826,55767
742911,57746,55767
705765,57562,55767
670477,58390,55767
636953,57959,55767
605106,59201,55767
574850,57855,55767
546108,57223,55767
518802,57649,55767
492862,58140,55767
468219,58240,55767
444808,59142,55767
422568,58307,55767
401439,57929,55767
381367,58171,55767
362299,58140,55767
344184,57552,55767
326975,58658,55767
310626,58025,55672
295095,57241,55672
280340,57952,55672
266323,57171,55672
253007,58309,55672
240357,58755,55672
228339,57357,55672
216922,58828,55672
206076,57770,55672
195772,57251,55250
185983,58882,55250
176684,58049,55250
167850,58236,55250
159457,58538,55250
151485,58319,55250
143910,59804,55250
136715,58322,55250
129879,57307,55250
123385,57502,55250
117216,59072,55250
111355,57187,55250
105787,57800,55250
100498,58926,55250
95473.1,56354,55250
90699.4,58212,55250
86164.5,57561,55250
81856.2,58308,55250
77763.4,58319,55250
73875.2,58263,55250
70181.5,57895,55250
66672.4,57627,55250
63338.8,57701,55250
60171.8,57615,55250
57163.3,57219,55250
54305.1,57366,55250
51589.8,57900,55250
49010.3,57762,55250
46559.8,58256,55250
44231.8,57707,55250
42020.2,57421,55250
39919.2,58302,55250
37923.3,57968,55250
36027.1,57602,55250
34225.8,59204,55250
32514.5,56845,55250
30888.7,57625,55250
29344.3,57066,55250
27877.1,58145,55250
26483.2,57332,55250
25159.1,57401,55250
23901.1,57501,55250
22706.1,58361,55250
21570.8,58504,55250
20492.2,58928,55250
19467.6,58110,55250
18494.2,57990,55250
17569.5,58241,55250
16691,57109,55250
15856.5,59104,55250
15063.7,58354,55250
14310.5,58901,55250
13595,57547,55250
12915.2,57152,55250
12269.5,58046,55250
11656,58503,55250
11073.2,58159,55250
10519.5,57740,55250
9993.54,58637,55250
9493.87,58855,55250
9019.17,58172,55250
8568.22,56354,55250
8139.8,57276,55250
7732.81,57938,55250
7346.17,57405,55250
6978.86,58022,55250
6629.92,57807,55250
6298.43,58166,55250
5983.5,57340,55250
5684.33,58330,55250
5400.11,57983,55250
5130.11,57455,55250
4873.6,57741,55250
4629.92,56528,55250
4398.43,57840,55250
4178.5,58139,55250
3969.58,57276,55250
3771.1,57910,55250
3582.54,57157,55250
3403.42,57906,55250
3233.25,57865,55250
3071.58,58423,55250
2918.01,58637,55250
2772.1,56817,55250
2633.5,57056,55250
2501.82,57222,55250
2376.73,57903,55250
2257.9,58924,55250
2145,58317,55250
2037.75,58171,55250
1935.86,58228,55250
1839.07,57327,55250
1747.12,57636,55250
1659.76,57235,55250
1576.77,56766,55250
1497.93,57239,55250
1423.04,57784,55250
1351.89,58571,55250
1284.29,57554,55250
1220.08,58188,55250
1159.07,56931,55250
1101.12,57185,55250
1046.06,56314,55250
993.761,58055,55250
944.073,57015,55250
896.869,57384,55250
852.026,58157,55250
809.424,58313,55250
768.953,56868,55250
730.505,57133,55090
693.98,56968,55090
659.281,57879,55090
626.317,58241,55090
595.001,57293,55090
565.251,57316,55090
536.989,57515,55090
510.139,57669,55090
484.632,56260,55090
460.401,57393,55090
437.381,57119,55090
415.512,55970,55090
394.736,57739,55090
374.999,57719,55090
356.249,56628,55053
338.437,56392,54885
321.515,56323,54885
305.439,56271,54766
290.167,57025,54766
275.659,56916,54766
261.876,57682,54766
248.782,56920,54691
236.343,56456,54691
224.526,57185,54096
213.3,56889,54096
202.635,55640,54096
192.503,56308,54096
182.878,55402,54070
173.734,56207,54070
165.047,54763,54070
156.795,55188,54025
148.955,55179,54025
141.507,55646,54025
134.432,56076,53792
127.71,55561,53792
121.325,53890,53093
115.259,54599,53093
109.496,54083,53093
104.021,54734,52764
98.8198,53538,52764
93.8788,54708,52585
89.1849,53411,51873
84.7256,53202,51645
80.4894,54119,51645
76.4649,52985,51556
72.6416,53863,51556
69.0096,52466,50926
65.5591,52193,50926
62.2811,52290,50499
59.1671,51767,50499
56.2087,51566,50141
53.3983,52731,49926
50.7284,50101,49883
48.1919,50428,49382
45.7824,50520,48671
43.4932,49470,48660
41.3186,49489,47995
39.2526,48187,47884
37.29,48698,47205
35.4255,49449,47066
33.6542,48417,47063
31.9715,48267,45946
30.3729,47444,45536
28.8543,46051,44975
27.4116,46801,44819
26.041,45010,44083
24.739,45017,43537
23.502,43300,43250
22.3269,44257,42986
21.2106,43425,41956
20.15,42833,41528
19.1425,42529,41288
